eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.0,0.08,0.08,0.02,0,0.04,653,13,120.0,164.0,0.6508165771055261,0.5099196421741753,0.23076923076923078,0.07692307692307693,3.0,13.0,0.0609878024395121
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.02,0.1,0.08,0.02,1,0.060000000000000005,653,13,120.0,164.0,0.7423810616454809,0.4752143867173615,0.23076923076923078,0.07692307692307693,3.0,13.0,0.08338332333533294
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.04,0.12,0.08,0.02,2,0.08,653,13,120.0,164.0,0.8754981287609734,0.59909750078881,0.23076923076923078,0.07692307692307693,3.0,13.0,0.033793241351729654
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.06,0.14,0.08,0.02,3,0.1,653,13,120.0,164.0,0.9300402436454346,0.7446866865172478,0.23076923076923078,0.07692307692307693,3.0,13.0,0.005398920215956809
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.08,0.16,0.08,0.02,4,0.12,653,13,120.0,164.0,0.9523856870425192,0.7384991109736722,0.23076923076923078,0.07692307692307693,3.0,13.0,0.005198960207958408
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.1,0.18,0.08,0.02,5,0.14,653,13,120.0,164.0,0.8172445438088722,0.47322471768127505,0.23076923076923078,0.07692307692307693,3.0,13.0,0.11417716456708658
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.12,0.2,0.08,0.02,6,0.16,653,13,120.0,164.0,0.5702455360344009,0.43399462771698416,0.23076923076923078,0.07692307692307693,3.0,13.0,0.1305738852229554
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.14,0.22000000000000003,0.08,0.02,7,0.18000000000000002,653,13,120.0,164.0,0.49132061759204326,0.2187050898955234,0.23076923076923078,0.07692307692307693,3.0,13.0,0.2731453709258148
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.16,0.24,0.08,0.02,8,0.2,653,13,120.0,164.0,0.43857202109286153,0.08726406827975536,0.23076923076923078,0.07692307692307693,3.0,13.0,0.34353129374125174
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.18,0.26,0.08,0.02,9,0.22,653,13,120.0,164.0,0.4601265638087702,0.3901286028213217,0.23076923076923078,0.07692307692307693,3.0,13.0,0.0665866826634673
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.2,0.28,0.08,0.02,10,0.24000000000000002,653,13,120.0,164.0,0.6324184344903625,0.3260780527510377,0.23076923076923078,0.07692307692307693,3.0,13.0,0.1297740451909618
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,VISp,0.22,0.3,0.08,0.02,11,0.26,653,13,120.0,164.0,0.4900061215933081,0.2995334044530106,0.23076923076923078,0.07692307692307693,3.0,13.0,0.1375724855028994
